market_id,last_price,ma_7d,price_trend_7d,vol_7d,vol_30d,age_days,time_to_resolution_days,category,y,snapshot_offset_days
721568,0.0005,,,,,-2.0,3.0,,1,3
721568,0.0005,,,,,0.0,1.0,,1,1
711679,0.0005,,,,,-5.0,7.0,,1,7
711679,0.0005,,,,,-1.0,3.0,,1,3
711679,0.0005,,,,,1.0,1.0,,1,1
685090,0.996,,,,,6.0,7.0,,1,7
685090,0.996,,,,,10.0,3.0,,1,3
685090,0.996,,,,,12.0,1.0,,1,1
734580,0.495,,,,,-6.0,7.0,,1,7
734580,0.495,,,,,-2.0,3.0,,1,3
734580,0.495,,,,,0.0,1.0,,1,1
708803,0.9995,,,,,-5.0,7.0,,1,7
708803,0.9995,,,,,-1.0,3.0,,1,3
708803,0.9995,,,,,1.0,1.0,,1,1
685135,0.9995,,,,,6.0,7.0,,1,7
685135,0.9995,,,,,10.0,3.0,,1,3
685135,0.9995,,,,,12.0,1.0,,1,1
698799,0.9995,,,,,-1.0,7.0,,1,7
698799,0.9995,,,,,3.0,3.0,,1,3
698799,0.9995,,,,,5.0,1.0,,1,1
697286,0.9995,,,,,0.0,7.0,,1,7
697286,0.9995,,,,,4.0,3.0,,1,3
697286,0.9995,,,,,6.0,1.0,,1,1
718686,0.9995,,,,,-5.0,7.0,,1,7
718686,0.9995,,,,,-1.0,3.0,,1,3
718686,0.9995,,,,,1.0,1.0,,1,1
698723,0.9995,,,,,-1.0,7.0,,1,7
698723,0.9995,,,,,3.0,3.0,,1,3
698723,0.9995,,,,,5.0,1.0,,1,1
662352,0.1605,,,,,19.0,7.0,,1,7
662352,0.1605,,,,,23.0,3.0,,1,3
662352,0.1605,,,,,25.0,1.0,,1,1
728673,0.495,,,,,-6.0,7.0,,1,7
728673,0.495,,,,,-2.0,3.0,,1,3
728673,0.495,,,,,0.0,1.0,,1,1
731268,0.495,,,,,-6.0,7.0,,1,7
731268,0.495,,,,,-2.0,3.0,,1,3
731268,0.495,,,,,0.0,1.0,,1,1
736277,0.005,,,,,-6.0,7.0,,1,7
736277,0.005,,,,,-2.0,3.0,,1,3
736277,0.005,,,,,0.0,1.0,,1,1
697254,0.0005,,,,,0.0,7.0,,1,7
697254,0.0005,,,,,4.0,3.0,,1,3
697254,0.0005,,,,,6.0,1.0,,1,1
697078,0.0005,,,,,1.0,7.0,,1,7
697078,0.0005,,,,,5.0,3.0,,1,3
697078,0.0005,,,,,7.0,1.0,,1,1
729537,0.52,,,,,-6.0,7.0,,1,7
729537,0.52,,,,,-2.0,3.0,,1,3
729537,0.52,,,,,0.0,1.0,,1,1
512680,1.0,,,,,2.0,7.0,,1,7
512680,1.0,,,,,6.0,3.0,,1,3
512680,1.0,,,,,8.0,1.0,,1,1
739020,0.0005,,,,,-6.0,7.0,,1,7
739020,0.0005,,,,,-2.0,3.0,,1,3
739020,0.0005,,,,,0.0,1.0,,1,1
737786,0.9995,,,,,-6.0,7.0,,1,7
737786,0.9995,,,,,-2.0,3.0,,1,3
737786,0.9995,,,,,0.0,1.0,,1,1
684961,0.003,,,,,6.0,7.0,,1,7
